Produkt;Geschlecht;Marke;Material;Anwendungsbereich;Druckart;Produktpreis;Versandkosten;EK-Preis;VK-Preis;Größen;Farben;Quelle
Reißverschlussjacke aus Mikrofleece;Herren;SOL'S Factor Men 03823;100 % recycelter Polyester (Polar-Fleece);Wärme und Nachhaltigkeit;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Softshell-Reißverschlussjacke;Herren;SOL'S Falcon Men 03827;Recycelter Polyester und Elasthan;Wetterfeste Outdoor-Jacke;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL, 4XL;Charcoal Grey, weitere;Gelato
Softshell-Thermoweste;Herren;SOL'S Falcon BW Men 03825;Recycelter Polyester und Elasthan;Outdoor-Aktivitäten, funktional;Stickerei;42,1;6,12;48,22;59,9;S, M, L, XL, 2XL, 3XL, 4XL;Charcoal Grey, weitere;Gelato
Unisex Mikrofleece-Reißverschlussweste;Unisex;SOL'S Factor BW 03822;100 % recycelter Polyester;Umweltbewusste Menschen;Stickerei;42,1;6,12;48,22;59,9;XS, S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Unisex Bio-Jacke;Unisex;SOL'S Neoblu Mael 03780;100 % Bio-Baumwolle;Nachhaltige Workwear;Stickerei;63;6,12;69,12;82,9;XS, S, M, L, XL, 2XL;Deep Khaki, weitere;Gelato
Unisex Mikrofleece-Reißverschlussweste;Unisex;SOL'S Factor BW 03822;100 % recycelter Polyester;Umweltbewusste Menschen;Stickerei;42,1;6,12;48,22;59,9;XS, S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Mikrofleece-Reißverschlussjacke Damen;Damen;SOL'S Factor Women 03824;100 % recycelter Polyester (Polar-Fleece);Wärme und Komfort, nachhaltig;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL;Rope, weitere;Gelato
Softshell-Reißverschlussjacke Damen;Damen;SOL'S Falcon Women 03828;Recycelter Polyester und Elasthan;Outdoor-Aktivitäten, funktional;Stickerei;46,78;6,12;52,9;64,9;S, M, L, XL, 2XL, 3XL;Charcoal Grey, weitere;Gelato
Softshell-Thermoweste Damen;Damen;SOL'S Falcon BW Women 03826;Recycelter Polyester;Funktionale Outdoor-Weste;Stickerei;42,1;6,12;48,22;59,9;S, M, L, XL, 2XL, 3XL;Charcoal Grey, weitere;Gelato
Unisex Bio-Jacke;Unisex;SOL'S Neoblu Mael 03780;100 % Bio-Baumwolle;Nachhaltige Workwear;Stickerei;63;6,12;69,12;82,9;XS, S, M, L, XL, 2XL;Deep Khaki, weitere;Gelato
Tailliert geschnittenes Poloshirt Herren;Herren;SOL'S Perfect Men 11346;Hochwertiger, strapazierfähiger Stoff;Komfort und Eleganz im Alltag;Stickerei;14,36;4,08;18,44;24,9;S, M, L, XL, 2XL, 3XL;Weiß, viele weitere;Gelato
Unisex Bio-Poloshirt;Unisex;SOL'S Pegase 04242;Zertifizierte Bio-Baumwolle;Freizeit- und Berufsalltag;Stickerei;17,23;4,08;21,31;27,9;XXS, XS, S, M, L, XL, 2XL, 3XL, 4XL;Weiß, Schwarz, Navy, viele weitere;Gelato
Herren-Poloshirt aus Bio-Baumwolle;Herren;SOL'S Planet Men 03566;100 % Bio-Baumwolle;Nachhaltige Mode;Stickerei;16,51;4,08;20,59;26,9;S, M, L, XL, 2XL, 3XL, 4XL, 5XL;Weiß, viele weitere;Gelato
Feminin geschnittenes Damen-Poloshirt;Damen;SOL'S Planet Women 03575;100 % Bio-Baumwolle;Stilvoll und nachhaltig;Stickerei;16,51;4,08;20,59;26,9;XS, S, M, L, XL, 2XL, 3XL;Weiß, viele weitere;Gelato
Tailliert geschnittenes Poloshirt Damen;Damen;SOL'S Perfect Women 11347;100 % gekämmte ringgesponnene Baumwolle;Alltag mit perfekter Passform;Stickerei;14,36;4,08;18,44;24,9;S, M, L, XL, 2XL, 3XL;Weiß, viele weitere;Gelato
