Produkt;Geschlecht;Marke;Material;Anwendungsbereich;Druckart;Produktpreis;Versandkosten;EK-Preis;VK-Preis;Größen;Farben;Quelle
Klassischer Unisex Hoodie | Gildan 18500;Unisex;Gildan;50% Baumwolle / 50% Polyester;Alltag, Freizeit;DTG;18,67;5,61;23,68;34,34;S, M, L, XL, 2XL, 3XL;20+ Farben;Gelato 
Premium Unisex Hoodie | Laneseven LS13001;Unisex;Laneseven;80% Baumwolle / 20% Polyester;Alltag, Freizeit, Übergangszeit;DTG;20,78;5,61;25,79;37,4;XS, S, M, L, XL, 2XL;4 Farben;Gelato 
Unisex Pullover Hoodie | Bella + Canvas 3719;Unisex;Bella + Canvas;52% gekämmte & ringgesponnene Baumwolle / 48% Polyester;Premium Freizeitkleidung;DTG;34,49;5,61;39,5;57,27;XS, S, M, L, XL, 2XL;10+ Farben;Gelato 
Premium Unisex Hoodie | JustHoods JH001;Unisex;JustHoods;80% Baumwolle / 20% Polyester;Alltag, College-Stil;DTG;20,64;5,61;25,65;37,19;XS, S, M, L, XL, 2XL, 3XL;20+ Farben;Gelato 
Mittelschwerer Fleece-Hoodie | Gildan SF500;Unisex;Gildan;80% gekämmte Baumwolle / 20% Polyester;Freizeit, Übergangszeit;DTG;21,6;5,61;26,01;37,71;S, M, L, XL, 2XL, 3XL;20+ Farben;Gelato 
Klassischer Unisex Zip-Hoodie;Unisex;Gildan 37200, Gildan 18600;50% Polyester, 50% Baumwolle;Alltag, Freizeit, Teams;DTG, Stickerei;23,57;5,61;28,58;41,44;S-3XL;Weiß, Grau, Blau, Schwarz;Gelato 
Premium Unisex-Hoodie mit Reißverschluss;Unisex;JustHoods JH050, Lane Seven LS24003;80% Baumwolle, 20% Polyester;Premium Freizeitkleidung;DTG, Stickerei;32,7;5,61;37,71;54,68;XS-3XL;Charcoal Heather;Gelato 
Unisex Hoodie aus recyceltem Mischgewebe;Unisex;SOL'S Condor 03815;50% recyceltes Baumwolle, 50% recyceltes Polyester;Nachhaltige Mode, Freizeit;DTG, Stickerei;28;5,61;33,01;47,86;XS-3XL;Mehrere Farben;Gelato 
Unisex Oversized Kapuzenpullover aus recyceltem Mischgewebe;Unisex;SOL'S Origin 03991;50% Baumwolle, 50% recyceltes Polyester;Urban Style, Nachhaltigkeit;DTG, Stickerei;36,75;5,61;41,76;60,55;XS-3XL;Grau Melange;Gelato 
Unisex Kapuzenpullover aus Bio-Baumwolle in Umstellung;Unisex;SOL'S Constellation 04232;80% Bio-Baumwolle in Umstellung, 15% recyceltes Polyester;Nachhaltigkeit, Freizeit, Teams;DTG, Stickerei;30,6;5,61;35,01;50,76;XS-3XL;Mehrere Farben;Gelato 
Bio-Unisex-Kapuzenpullover | SOL'S Stellar 03568;Unisex;SOL'S Stellar 03568;85% Bio-Baumwolle, 15% recyceltes Polyester;Alltag, Freizeit, nachhaltige Mode;DTG (Textildirektdruck), Stickerei;32,33;5,61;37,94;55,01;XS, S, M, L, XL, 2XL;14 Farben (u.a. Weiß, Beige, Rosa, Khaki, Grau, Schwarz);Gelato 
