Produkt;Marke;Quelle;Produktpreis (€);Versandkosten (€);Markenwertung (1–10);Anbieterwertung (1–10);Druck-Stoff-Kompatibilität (1–10)
Premium T-Shirt;Bella + Canvas;Gelato;10,36;3,55;42;75;10
Stanley/Stella Männer Bio-T-Shirt mit V-Ausschnitt;Stanley/Stella;Spreadconnect;21,49;6,29;39;74;10
Stanley/Stella Relaxed Rundhals Frauen Bio-T-Shirt SERENA;Stanley/Stella;Spreadconnect;10,86;2,5;39;74;7
Stanley/Stella Unisex Bio-T-Shirt CRAFTER;Stanley/Stella;Spreadconnect;10,86;2,5;39;74;7
Frauen Gildan Heavy T-Shirt;Gildan;Spreadconnect;19,49;6,29;36;74;10
Männer Gildan Heavy T-Shirt;Gildan;Spreadconnect;19,99;6,29;36;74;10
Stanley/Stella Relaxed Fit Unisex Bio-T-Shirt SPARKER;Stanley/Stella;Spreadconnect;15,7;2,5;39;74;7
Unisex Tri-Blend T-Shirt von Bella + Canvas;Bella + Canvas;Spreadconnect;19,49;6,29;42;74;6
Stanley/Stella Unisex Bio-T-Shirt CREATOR;Stanley/Stella;Spreadconnect;14,4;2,5;39;74;7
Stanley/Stella Frauen Boxy Bio T-Shirt Nova;Stanley/Stella;Spreadconnect;13,09;2,5;39;74;7
Stanley/Stella Oversized Unisex Bio T-Shirt Blaster;Stanley/Stella;Spreadconnect;15,95;2,5;39;74;7
Männer T-Shirt | Gildan;Gildan;Spreadconnect;9,05;2,5;36;74;7
Teenager T-Shirt | B&C;B&C;Spreadconnect;8,89;2,5;36;74;7
Frauen T-Shirt | Gildan;Gildan;Spreadconnect;8,96;2,5;36;74;7
Männer Slim Fit T-Shirt;Stedman;Spreadconnect;16,99;6,29;31;74;10
Klassisches Frauen-T-Shirt mit V-Ausschnitt;Gildan;Spreadconnect;16,99;6,29;36;74;6
Klassisches Männer-T-Shirt mit V-Ausschnitt;Gildan;Spreadconnect;16,99;6,29;36;74;6
Unisex Polycotton T-Shirt;Gildan;Spreadconnect;16,99;6,29;36;74;6
Männer Workwear T-Shirt;Russell;Spreadconnect;19,99;6,29;35;74;6
Männer Funktions-T-Shirt | James & Nicholson;James & Nicholson;Spreadconnect;17,67;2,5;32;74;7
Frauen Funktions-T-Shirt | James & Nicholson;James & Nicholson;Spreadconnect;17,67;2,5;32;74;7
Heavyweight T-Shirt;Gildan 5000;Gelato;6,16;3,55;;75;10
Klassisches T-Shirt;Gildan 64000;Gelato;6,16;3,55;;75;10
Ultra Cotton T-Shirt;Gildan 2000;Gelato;13,21;3,55;;75;6
Enganliegendes T-Shirt;Next Level 3600;Gelato;19,01;3,55;;75;10
Performance T-Shirt;Sports T-Shirt (Gildan Style);Gelato;10,07;3,55;;75;4
Polycotton T-Shirt;Jerzees 29M;Gelato;12,32;3,55;;75;6
V-Ausschnitt T-Shirt;Bella + Canvas 3005;Gelato;14,51;3,55;;75;10
Triblend T-Shirt;Bella + Canvas 3413;Gelato;18,33;3,55;;75;6
Ringer T-Shirt;Bella + Canvas 980;Gelato;12,43;3,55;;75;10
Oversized T-Shirt;SOL'S Legacy 03990;Gelato;15,77;3,55;;75;10
Bio-Baumwolle T-Shirt;SOL'S Legend 03981;Gelato;11,23;3,55;;75;10
T-Shirt aus recycelter Mischfaser;SOL'S RE Crusader 04223;Gelato;10,16;3,55;;75;6
Bio-T-Shirt Herren;SOL'S Pioneer Men 03595;Gelato;11,22;3,55;;75;10
T-Shirt mit bequemer Passform;SOL'S Tuner 04203;Gelato;10;3,55;;75;10
Premium Damen-T-Shirt;Bella + Canvas 6004;Gelato;11,99;3,55;;75;10
Heavyweight T-Shirt;Gildan 5000;Gelato;6,1;3,55;;75;10
Klassisches Damen-T-Shirt;Gildan 64000L;Gelato;9,22;3,55;;75;10
Premium Unisex T-Shirt;Bella + Canvas 3001;Gelato;10,36;3,55;;75;10
Klassisches Unisex T-Shirt;Gildan 64000;Gelato;6,16;3,55;;75;10
