Platz;Produkt;Marke;Quelle;Komfort (1–10);Style (1–10);Material;Markenwertung (1–10);Anbieterwertung (1–10);Gesamtscore (0–100)
1;Unisex Essential Eco Hoodie | Stanley/Stella STSU177;Stanley/Stella;Printful;9;8;100% organic cotton;10;8;73,55
2;Unisex Essential Eco Hoodie;Stanley/Stella;Printful;9;8;100% organic cotton;10;8;73,51
3;Unisex Pullover Hoodie | Bella + Canvas 3719;Bella + Canvas;Printful;9;8;52% airlume combed ring-spun cotton, 48% poly fleece;9;8;72,52
4;Unisex Pullover Hoodie;Bella + Canvas;Printful;9;8;52% airlume combed ring-spun cotton, 48% poly fleece;9;8;72,48
5;Women's Cropped Hoodie | Bella + Canvas 7502;Bella + Canvas;Printful;9;8;52% airlume combed and ringspun cotton, 48% poly fleece;9;8;71,55
6;Stanley/Stella Unisex Bio-Hoodie DRUMMER;Stanley/Stella;Spreadshirt;9;8;85% Baumwolle (aus biologischem Anbau), 15% Polyester (recycelt);10;6;71,49
7;Stanley/Stella Boxy Frauen Bio Hoodie Nora;Stanley/Stella;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);10;6;71,26
8;Stanley/Stella Boxy Frauen Bio Zip Hoodie Ida;Stanley/Stella;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);10;6;70,96
9;Stanley/Stella Unisex Bio-Hoodie CRUISER;Stanley/Stella;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);10;6;70,25
10;Stanley/Stella Unisex Bio-Kapuzenjacke CULTIVATOR;Stanley/Stella;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);10;6;69,98
11;Frauen Oversized Cropped Kapuzenjacke;Build Your Brand;Spreadshirt;8;9;65% Baumwolle, 35% Polyester;8;6;66,9
12;Unisex Kapuzenpullover aus Bio-Baumwolle in Umstellung;SOL'S Constellation 04232;Gelato;9;8;85% Bio-Baumwolle, 15% recyceltes Polyester;5;8;65,21
13;Unisex Zip-Hoodie aus Bio-Baumwolle in Umstellung;SOL'S Calipso 04237;Gelato;9;8;85% Bio-Baumwolle, 15% recyceltes Polyester;5;8;64,92
14;Premium Eco Hoodie;Printful;Printful;9;9;85% organic cotton, 15% recycled polyester;5;8;64,91
15;Premium Eco Hoodie;Printful;Printful;9;9;85% organic cotton, 15% recycled polyester;5;8;64,91
16;Premium Eco Hoodie;Printful;Printful;9;9;85% organic cotton, 15% recycled polyester;5;8;64,91
17;Bio-Unisex-Kapuzenpullover;SOL'S Stellar 03568;Gelato;9;8;80% Bio-Baumwolle, 20% recyceltes Polyester;5;8;64,9
18;Unisex Pullover Hoodie | Bella + Canvas 3719;Bella + Canvas;Gelato ;8;8;52% gekämmte & ringgesponnene Baumwolle / 48% Polyester;9;5;64,61
19;Unisex Oversized Kapuzenpullover aus recyceltem Mischgewebe;SOL'S Origin 03991;Gelato;8;9;80% Baumwolle, 20% recyceltes Polyester;5;8;64,3
20;Frauen Premium Hoodie;Spreadshirt;Spreadshirt;9;9;70% Bio-Baumwolle, 30% recyceltes Polyester;5;6;64,25
21;Männer Premium Kapuzenjacke;Spreadshirt;Spreadshirt;9;9;70% Bio-Baumwolle, 30% recyceltes Polyester;5;6;63,83
22;Unisex Eco Raglan Hoodie;SOL'S;Printful;9;8;85% organic cotton, 15% recycled polyester;5;8;63,72
23;Unisex Eco Raglan Hoodie | SOL'S 03568;SOL'S;Printful;9;8;"Outside: 100% organic cotton; Charcoal: 60% organic cotton, 40% recycled polyester";5;8;63,72
24;Männer Premium Hoodie;Spreadshirt;Spreadshirt;9;9;70% Bio-Baumwolle, 30% recyceltes Polyester;5;6;63,71
25;Unisex Hoodie aus recyceltem Mischgewebe;SOL'S Condor 03815;Gelato;8;8;80% Baumwolle, 20% recyceltes Polyester;5;8;63,48
26;Unisex Kapuzenjacke;Just Hoods;Spreadshirt;8;8;"80% Baumwolle, 20% Polyester (Anthrazit: 52% Baumwolle, 48% Polyester; Hellgrau meliert: 75% Baumwolle, 25% Polyester)";7;6;63,33
27;Frauen Premium Kapuzenjacke;Spreadshirt;Spreadshirt;8;9;80% Baumwolle, 20% Polyester;5;6;62,14
28;Unisex Heavy Blend Hoodie;Gildan;Printful;6;8;50% pre-shrunk cotton, 50% polyester;6;8;62,12
29;Unisex Heavy Blend Hoodie | Gildan 18500;Gildan;Printful;6;8;50% cotton, 50% polyester;6;8;62,12
30;Oversized Unisex Hoodie;Spreadshirt;Spreadshirt;8;9;80% Baumwolle, 20% Polyester;5;6;62,08
31;Unisex Premium Hoodie | Cotton Heritage M2580;Cotton Heritage;Printful;6;9;65% ring-spun cotton, 35% polyester;5;8;61,93
32;Unisex Premium Hoodie;Cotton Heritage;Printful;6;9;65% ring-spun cotton, 35% polyester;5;8;61,8
33;Unisex Premium Hoodie;Cotton Heritage;Printful;6;9;65% ring-spun cotton, 35% polyester;5;8;61,8
