Platz;Produkt;Marke;Wettertauglichkeit (1–10);Robustheit (1–10);Material;Komfort (1–10);Style (1–10);Markenwertung (1–10);Anbieterwertung (1–10);Gesamtscore (0–100)
1;Frauen Oversized Cropped Kapuzenjacke;Build Your Brand;7;7;65% Baumwolle, 35% Polyester;8;9;8;6;78,12
2;Unisex Kapuzenjacke;Just Hoods;7;7;"80% Baumwolle, 20% Polyester (Anthrazit: 52% Baumwolle, 48% Polyester; Hellgrau meliert: 75% Baumwolle, 25% Polyester)";8;8;7;6;75,53
3;Stanley/Stella Unisex Bio-Kapuzenjacke CULTIVATOR;Stanley/Stella;5;6;100% Baumwolle (aus biologischem Anbau);9;8;10;6;75,24
4;Männer Premium Kapuzenjacke;Spreadshirt;7;7;70% Bio-Baumwolle, 30% recyceltes Polyester;9;9;5;6;74,01
5;Unisex Heavyweight Kapuzenjacke;Gildan;7;7;50% Baumwolle, 50% Polyester;8;8;6;6;73,79
6;Frauen Premium Kapuzenjacke;Spreadshirt;7;7;80% Baumwolle, 20% Polyester;8;9;5;6;73,31
7;Frauen Kapuzenjacke | AWDIs;AWDis;7;7;80% Baumwolle, 20% Polyester;8;8;5;6;72,26
8;JAKO Kapuzenjacke Organic;JAKO;7;7;70 % Baumwolle (Bio), 30 % Polyester;9;8;5;6;71,19
9;Premium Recycled Bomber Jacket | Threadfast Apparel 395J;Threadfast Apparel;7;7;100% recycled polyester;6;9;5;8;69,77
10;Premium Recycled Bomber Jacket;Threadfast Apparel;7;7;100% recycled polyester;6;9;5;8;69,77
11;Reißverschlussjacke aus Mikrofleece;SOL'S Factor Men 03823;7;7;100 % recycelter Polyester (Polar-Fleece);6;6;5;8;69,19
12;Mikrofleece-Reißverschlussjacke Damen;SOL'S Factor Women 03824;7;7;100 % recycelter Polyester (Polar-Fleece);6;6;5;8;69,19
13;Softshell-Reißverschlussjacke;SOL'S Falcon Men 03827;7;7;Recycelter Polyester und Elasthan;6;6;5;8;69,19
14;Softshell-Reißverschlussjacke Damen;SOL'S Falcon Women 03828;7;7;Recycelter Polyester und Elasthan;6;6;5;8;69,19
15;All-Over Print Unisex Bomber Jacket;Printful;7;7;100% polyester;6;6;5;8;68,3
16;All-Over Print Unisex Bomber Jacket;Printful;7;7;100% polyester;6;6;5;8;68,3
17;Faux Leather Bomber Jacket;Threadfast Apparel;7;7;"Outer: 100% polyurethane faux leather; Lining: 60% cotton, 40% polyester";6;6;5;8;66,77
18;Faux Leather Bomber Jacket | Threadfast Apparel 395J;Threadfast Apparel;7;7;Outside: 100% polyurethane, Lining: 60% cotton, 40% polyester;6;6;5;8;66,77
19;All-Over Print Recycled Unisex Track Jacket;Printful;7;7;95% recycled polyester, 5% spandex;6;6;5;8;66,04
20;Unisex Sherpa Denim Jacket;Threadfast Apparel;7;7;"Denim: 99% cotton, 1% spandex; Sherpa & sleeve lining: 100% recycled polyester";6;6;5;8;66,04
21;Unisex Sherpa Denim Jacket | Threadfast Apparel 372J;Threadfast Apparel;7;7;"Denim: 99% cotton, 1% spandex; Sherpa & sleeve lining: 100% recycled polyester";6;6;5;8;66
22;All-Over Print Recycled Unisex Track Jacket;Printful;7;7;100% recycled polyester;6;6;5;8;66
23;Unisex Bio-Jacke;SOL'S Neoblu Mael 03780;5;6;100 % Bio-Baumwolle;9;6;5;8;64,1
24;Unisex Bio-Jacke;SOL'S Neoblu Mael 03780;5;6;100 % Bio-Baumwolle;9;6;5;8;64,1
25;Organic Relaxed Kapuzenjacke Made in EU;Spreadshirt;5;6;100% Baumwolle (aus biologischem Anbau);9;8;5;6;61,43
26;Unisex Denim Jacket;Threadfast Apparel;4;5;99% cotton, 1% spandex;5;6;5;8;57,76
27;Unisex Denim Jacket | Threadfast Apparel 370J;Threadfast Apparel;4;5;99% combed cotton, 1% spandex;5;6;5;8;57,76
