Platz;Produkt;Marke;Wärmefaktor (1–10);Weichheit (1–10);Material;Markenwertung (1–10);Anbieterwertung (1–10);Gesamtscore (0–100)
1;Stanley/Stella Unisex Oversize Bio Pullover RADDER;Stanley/Stella;7;9;85% Bio-Baumwolle, 15% recyceltes Polyester;10;6;66,14
2;Unisex Bio-Pullover mit Rundhalsausschnitt | SOL'S Comet 03574;SOL'S Comet 03574;7;9;80% Bio-Baumwolle, 20% recycelter Polyester;5;8;62,22
3;Unisex Bio-Pullover mit Rundhalsausschnitt;SOL'S Comet 03574;7;9;80 % Bio-Baumwolle, 20 % recycelter Polyester;5;8;62,22
4;Klassischer Unisex Pullover mit Rundhalsausschnitt;Gildan 18000;7;8;50% Baumwolle, 50% Polyester;5;8;61,53
5;Klassischer Unisex Pullover mit Rundhalsausschnitt | Gildan 18000;Gildan 18000;7;8;50% Baumwolle, 50% Polyester;5;8;61,53
6;Midweight Fleece-Pullover Gildan SF000;Gildan SF000;7;8;80 % Baumwolle, 20 % Polyester;5;8;61,02
7;Midweight Fleece-Pullover mit Rundhalsausschnitt | Gildan SF000;Gildan SF000;7;8;80% US-Baumwolle, 20% Polyester;5;8;61,02
8;Midweight Fleece-Pullover mit Rundhalsausschnitt;Gildan SF000;7;8;80% ringgesponnene US-Baumwolle, 20% Polyester;5;8;61,02
9;Unisex Pullover mit 1/4-Reißverschluss;SOL'S Conrad 04234;7;8;80 % Baumwolle, 20 % recycelter Polyester;5;8;59,6
10;Unisex-Pullover mit Reißverschluss aus recyceltem Mischgewebe;SOL'S Cooper 04240;7;8;80% Baumwolle, 20% recycelter Polyester;5;8;59,6
11;Unisex Pullover mit 1/4-Reißverschluss aus recyceltem Mischgewebe | SOL'S Conrad 04234;SOL'S Conrad 04234;7;8;80% Baumwolle, 20% recycelter Polyester;5;8;59,6
12;Unisex-Pullover mit Reißverschluss;SOL'S Cooper 04240;7;8;80 % Baumwolle, 20 % recycelter Polyester;5;8;59,6
13;Premium Unisex Pullover mit Rundhalsausschnitt | JustHoods JH030;Lane Seven LS14004, JustHoods JH030;7;8;80% ringgesponnene Baumwolle, 20% Polyester;5;8;59,58
14;Premium Unisex Pullover mit Rundhalsausschnitt;Lane Seven LS 14004, JustHoods JH030;7;8;80% Baumwolle, 20% Polyester;5;8;59,58
15;Männer Premium Pullover;Spreadshirt;7;9;"80% Baumwolle, 20% Polyester (meliert: 85% Baumwolle, 15% Viskose; Navy, Taupe, Rot, Taubenblau: 70% Bio-Baumwolle, 30% recyceltes Polyester)";5;6;58,45
16;Frauen Premium Pullover;Spreadshirt;7;9;70% Bio-Baumwolle, 30% recyceltes Polyester;5;6;58,45
17;Unisex Pullover;AWDis;7;8;80% Baumwolle, 20% Polyester;5;6;56,77
18;Damen Cropped Pullover;Bella+Canvas 7503;7;8;52 % Airlume Baumwolle, 48 % Polyester;5;8;56,62
19;Unisex Pullover mit Zip-Kragen;James+Nicholson;7;8;70% Baumwolle, 30% Polyester;5;6;52
